epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.486,1.21581,1.25084,1.2264,0.79122,0.71061,0.7541,0.48056,1.40202,1.27496,1.40293,0.000655556,0.000655556,0.000655556
2,16.187,1.26409,1.04382,1.25429,0.91751,0.69523,0.78994,0.47784,1.45728,1.2397,1.38345,0.00130041,0.00130041,0.00130041
3,23.644,1.34462,1.23532,1.31845,0.81037,0.6,0.66984,0.40816,1.43863,1.62759,1.34986,0.00192326,0.00192326,0.00192326
4,31.303,1.37246,1.17347,1.32809,0.77917,0.66159,0.69658,0.44985,1.51568,1.55092,1.48782,0.001901,0.001901,0.001901
5,38.886,1.33281,1.15734,1.28038,0.91157,0.625,0.783,0.4588,1.45112,1.39758,1.43571,0.001868,0.001868,0.001868
6,46.696,1.34944,1.23151,1.31883,0.86004,0.725,0.79172,0.44414,1.52483,1.44386,1.49082,0.001835,0.001835,0.001835
7,54.465,1.34394,1.2503,1.2916,0.81086,0.6125,0.69434,0.43076,1.52488,1.52027,1.53506,0.001802,0.001802,0.001802
8,62.082,1.2839,1.07019,1.26749,0.94264,0.625,0.75358,0.45781,1.4812,1.30251,1.41881,0.001769,0.001769,0.001769
9,69.655,1.31995,1.06942,1.27897,0.85788,0.7546,0.80649,0.50617,1.42784,1.17707,1.40773,0.001736,0.001736,0.001736
10,77.185,1.26029,1.05668,1.24723,0.82532,0.70877,0.77044,0.45408,1.46177,1.26106,1.42025,0.001703,0.001703,0.001703
11,84.943,1.28868,1.03022,1.2669,0.79879,0.69478,0.75728,0.48128,1.49346,1.30035,1.44583,0.00167,0.00167,0.00167
12,92.762,1.21979,0.97831,1.23494,0.86745,0.73627,0.78739,0.48694,1.4033,1.49092,1.36095,0.001637,0.001637,0.001637
13,100.385,1.21276,0.94697,1.19972,0.93385,0.70588,0.79764,0.51417,1.4924,1.28675,1.4509,0.001604,0.001604,0.001604
14,107.911,1.21962,0.96253,1.19746,0.82929,0.775,0.81641,0.49885,1.49264,1.06472,1.34666,0.001571,0.001571,0.001571
15,115.235,1.27317,0.98937,1.24203,0.9303,0.66746,0.78345,0.48231,1.46544,1.22237,1.39717,0.001538,0.001538,0.001538
16,122.696,1.19083,0.91306,1.22598,0.88357,0.7589,0.83206,0.51521,1.48606,1.15311,1.46592,0.001505,0.001505,0.001505
17,130.953,1.15956,0.88559,1.20748,0.95781,0.75,0.8265,0.50824,1.55561,1.24253,1.44727,0.001472,0.001472,0.001472
18,138.904,1.15943,0.87811,1.18563,0.90393,0.75,0.8328,0.49992,1.55093,1.08475,1.46591,0.001439,0.001439,0.001439
19,146.81,1.13255,0.84972,1.17254,0.97516,0.7375,0.82268,0.50113,1.51948,1.34126,1.49722,0.001406,0.001406,0.001406
20,154.776,1.08111,0.81539,1.13413,0.92153,0.725,0.83953,0.54094,1.39075,1.10405,1.34664,0.001373,0.001373,0.001373
21,162.587,1.14562,0.81862,1.16623,0.9522,0.7471,0.83021,0.5421,1.45845,1.16581,1.37723,0.00134,0.00134,0.00134
22,170.47,1.05698,0.79994,1.1524,0.89769,0.76775,0.83261,0.53283,1.41047,1.0838,1.37526,0.001307,0.001307,0.001307
23,178.394,1.07509,0.77663,1.13902,0.89184,0.8,0.85709,0.53713,1.45642,0.96798,1.41426,0.001274,0.001274,0.001274
24,186.507,1.11003,0.82935,1.17235,0.89809,0.775,0.8245,0.51383,1.45565,1.06487,1.41564,0.001241,0.001241,0.001241
25,195.112,1.03504,0.75324,1.09385,0.93432,0.75,0.85371,0.54119,1.38496,0.93146,1.38558,0.001208,0.001208,0.001208
26,202.865,1.0274,0.7698,1.09848,0.9084,0.7625,0.80874,0.51642,1.37904,1.11079,1.3741,0.001175,0.001175,0.001175
27,210.64,1.04027,0.72952,1.08685,0.95405,0.7,0.80145,0.52748,1.42703,1.12273,1.38365,0.001142,0.001142,0.001142
28,218.477,1.0828,0.7828,1.13762,0.91354,0.7375,0.83874,0.5477,1.35157,1.04358,1.32898,0.001109,0.001109,0.001109
